186384912-00;42105;0;277;1/7/2020
333496188-00;80168;0;4;1/7/2020
273776403-00;20405;0;432;2/7/2020
243349524-00;103960;1;308;2/7/2020
350082514-00;106850;0;167;3/7/2020
146276996-00;107845;0;8;4/7/2020
166885646-00;71553;0;22;5/7/2020
404038531-00;31667;0;166;5/7/2020
153915461-00;40349;1;87;5/7/2020
179692372-00;24542;0;29;6/7/2020
450574272-00;56284;0;89;6/7/2020
113315539-00;15361;0;304;6/7/2020
208739507-00;93045;1;158;6/7/2020
407150008-00;101911;0;167;7/7/2020
367280781-00;44912;0;56;7/7/2020
111745207-00;22888;0;135;7/7/2020
400347617-00;55128;0;221;7/7/2020
257438687-00;17328;0;240;8/7/2020
358885992-00;87768;0;25;9/7/2020
446817609-00;68544;1;234;9/7/2020
129658929-00;24468;0;505;10/7/2020
156200307-00;25362;0;156;10/7/2020
426249682-00;59820;0;114;10/7/2020
103074450-00;97421;1;310;10/7/2020
170679953-00;64438;0;114;10/7/2020
342877828-00;5346;0;444;11/7/2020
319565366-00;92841;1;332;11/7/2020
443931156-00;94128;0;219;11/7/2020
203363745-00;87030;0;267;11/7/2020
147020837-00;19173;0;412;11/7/2020
308248665-00;103185;1;207;11/7/2020
287468103-00;5898;0;543;11/7/2020
164047487-00;106381;1;387;11/7/2020
104357381-00;36270;0;290;12/7/2020
170242616-00;105839;0;34;12/7/2020
342902826-00;60984;0;355;12/7/2020
319849447-00;42191;0;571;13/07/2020
252897256-00;89225;1;141;13/07/2020
237333775-00;46363;0;274;13/07/2020
412283337-00;60313;0;8;15/07/2020
353372199-00;41655;1;47;15/07/2020
452921758-00;68447;0;169;16/07/2020
218002831-00;33648;1;162;16/07/2020
197262276-00;5841;0;686;17/07/2020
235000728-00;68409;1;181;17/07/2020
103364480-00;27686;0;411;18/07/2020
189343258-00;20670;0;80;18/07/2020
328642693-00;21760;1;75;18/07/2020
142664910-00;98722;0;255;19/07/2020
414944144-00;60255;0;120;19/07/2020
267760766-00;102936;0;65;20/07/2020
382916694-00;59122;0;510;20/07/2020
321244575-00;90053;0;401;20/07/2020
259565245-00;4058;1;43;20/07/2020
447165882-00;103932;0;39;21/07/2020
233060827-00;65438;0;14;21/07/2020
371204383-00;28604;1;258;21/07/2020
